"n_subject","n_source","n_time_point","simulation","subject","source","cor","wlik","amari","time_cost"
5,3,256,"2","subject 4","3",0.999526493476768,1234.04618679904,2.40548322002117e-16,1.10688656734096
5,3,256,"2","subject 5","1",0.528844558251316,1234.04618679904,2.40548322002117e-16,1.10688656734096
5,3,256,"2","subject 5","2",0.998967870222018,1234.04618679904,2.40548322002117e-16,1.10688656734096
5,3,256,"2","subject 5","3",0.999892710002289,1234.04618679904,2.40548322002117e-16,1.10688656734096
5,3,256,"3","subject 1","1",0.909504463263905,1003.32544697385,0.112221687535293,13.3172624629736
5,3,256,"3","subject 1","2",0.601401922636759,1003.32544697385,0.112221687535293,13.3172624629736
5,3,256,"3","subject 1","3",0.995617561226825,1003.32544697385,0.112221687535293,13.3172624629736
5,3,256,"3","subject 2","1",0.939730201419089,1003.32544697385,0.112221687535293,13.3172624629736
5,3,256,"3","subject 2","2",0.58134155413138,1003.32544697385,0.112221687535293,13.3172624629736
5,3,256,"3","subject 2","3",0.999295462348363,1003.32544697385,0.112221687535293,13.3172624629736
5,3,256,"3","subject 3","1",0.323168917372396,1003.32544697385,0.112221687535293,13.3172624629736
5,3,256,"3","subject 3","2",0.953994764248111,1003.32544697385,0.112221687535293,13.3172624629736
5,3,256,"3","subject 3","3",0.94218499656672,1003.32544697385,0.112221687535293,13.3172624629736
5,3,256,"3","subject 4","1",0.89832842183566,1003.32544697385,0.112221687535293,13.3172624629736
5,3,256,"3","subject 4","2",0.441149290455482,1003.32544697385,0.112221687535293,13.3172624629736
5,3,256,"3","subject 4","3",0.998583772030213,1003.32544697385,0.112221687535293,13.3172624629736
5,3,256,"3","subject 5","1",0.57642767223621,1003.32544697385,0.112221687535293,13.3172624629736
5,3,256,"3","subject 5","2",0.928425411993591,1003.32544697385,0.112221687535293,13.3172624629736
5,3,256,"3","subject 5","3",0.934660391393911,1003.32544697385,0.112221687535293,13.3172624629736
5,3,256,"4","subject 1","1",0.940795948729686,1179.5797296521,0.136131873443286,13.3184158917268
5,3,256,"4","subject 1","2",0.491328822384985,1179.5797296521,0.136131873443286,13.3184158917268
5,3,256,"4","subject 1","3",0.997366388189517,1179.5797296521,0.136131873443286,13.3184158917268
5,3,256,"4","subject 2","1",0.918434567406729,1179.5797296521,0.136131873443286,13.3184158917268
5,3,256,"4","subject 2","2",0.326718070496681,1179.5797296521,0.136131873443286,13.3184158917268
5,3,256,"4","subject 2","3",0.99612826161593,1179.5797296521,0.136131873443286,13.3184158917268
5,3,256,"4","subject 3","1",0.925854028381781,1179.5797296521,0.136131873443286,13.3184158917268
5,3,256,"4","subject 3","2",0.405059081025406,1179.5797296521,0.136131873443286,13.3184158917268
5,3,256,"4","subject 3","3",0.998560168230716,1179.5797296521,0.136131873443286,13.3184158917268
5,3,256,"4","subject 4","1",0.906859407186999,1179.5797296521,0.136131873443286,13.3184158917268
5,3,256,"4","subject 4","2",0.376545691233692,1179.5797296521,0.136131873443286,13.3184158917268
5,3,256,"4","subject 4","3",0.999427071412222,1179.5797296521,0.136131873443286,13.3184158917268
5,3,256,"4","subject 5","1",0.908038166628519,1179.5797296521,0.136131873443286,13.3184158917268
5,3,256,"4","subject 5","2",0.375399834058137,1179.5797296521,0.136131873443286,13.3184158917268
5,3,256,"4","subject 5","3",0.998867732890821,1179.5797296521,0.136131873443286,13.3184158917268
5,3,256,"5","subject 1","1",0.579839494163424,1359.05609214467,0.561997574869257,13.3217970247401
5,3,256,"5","subject 1","2",0.986413509956512,1359.05609214467,0.561997574869257,13.3217970247401
5,3,256,"5","subject 1","3",0.999520056076905,1359.05609214467,0.561997574869257,13.3217970247401
5,3,256,"5","subject 2","1",0.569271429388876,1359.05609214467,0.561997574869257,13.3217970247401
5,3,256,"5","subject 2","2",0.981196355001144,1359.05609214467,0.561997574869257,13.3217970247401
5,3,256,"5","subject 2","3",0.999624485008011,1359.05609214467,0.561997574869257,13.3217970247401
5,3,256,"5","subject 3","1",0.566866702906844,1359.05609214467,0.561997574869257,13.3217970247401
5,3,256,"5","subject 3","2",0.970426585030899,1359.05609214467,0.561997574869257,13.3217970247401
5,3,256,"5","subject 3","3",0.998954995422293,1359.05609214467,0.561997574869257,13.3217970247401
5,3,256,"5","subject 4","1",0.585801241702907,1359.05609214467,0.561997574869257,13.3217970247401
5,3,256,"5","subject 4","2",0.991763704509041,1359.05609214467,0.561997574869257,13.3217970247401
5,3,256,"5","subject 4","3",0.999457827878233,1359.05609214467,0.561997574869257,13.3217970247401
5,3,256,"5","subject 5","1",0.549709601739528,1359.05609214467,0.561997574869257,13.3217970247401
5,3,256,"5","subject 5","2",0.988969157701991,1359.05609214467,0.561997574869257,13.3217970247401
5,3,256,"5","subject 5","3",0.999637359807736,1359.05609214467,0.561997574869257,13.3217970247401
5,3,256,"6","subject 1","1",0.966566290913252,1161.18488573465,0.000981089393670901,8.33780756771564
5,3,256,"6","subject 1","2",0.240248054474708,1161.18488573465,0.000981089393670901,8.33780756771564
5,3,256,"6","subject 1","3",0.991340266651407,1161.18488573465,0.000981089393670901,8.33780756771564
5,3,256,"6","subject 2","1",0.98867375257496,1161.18488573465,0.000981089393670901,8.33780756771564
5,3,256,"6","subject 2","2",0.137376974135958,1161.18488573465,0.000981089393670901,8.33780756771564
5,3,256,"6","subject 2","3",0.997244792858778,1161.18488573465,0.000981089393670901,8.33780756771564
5,3,256,"6","subject 3","1",0.980619134813458,1161.18488573465,0.000981089393670901,8.33780756771564
5,3,256,"6","subject 3","2",0.196407930876631,1161.18488573465,0.000981089393670901,8.33780756771564
5,3,256,"6","subject 3","3",0.99867389562829,1161.18488573465,0.000981089393670901,8.33780756771564
5,3,256,"6","subject 4","1",0.947925011444266,1161.18488573465,0.000981089393670901,8.33780756771564
5,3,256,"6","subject 4","2",0.326489900434882,1161.18488573465,0.000981089393670901,8.33780756771564
5,3,256,"6","subject 4","3",0.9973578049897,1161.18488573465,0.000981089393670901,8.33780756771564
5,3,256,"6","subject 5","1",0.984628204394598,1161.18488573465,0.000981089393670901,8.33780756771564
5,3,256,"6","subject 5","2",0.374677414740215,1161.18488573465,0.000981089393670901,8.33780756771564
5,3,256,"6","subject 5","3",0.995854314488441,1161.18488573465,0.000981089393670901,8.33780756771564
5,3,256,"7","subject 1","1",0.388016422522316,1177.48025987675,0.0751938886061656,13.3018485740158
